기준일자,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
20220501,KR7014940001,A014940,오리엔탈정공,오리엔탈정공,"ORIENTAL PRECISION & ENGINEERING CO.,LTD",20011226,KOSDAQ,주권,우량기업부,보통주,500,45573661
20220501,KR7002630002,A002630,오리엔트바이오보통주,오리엔트바이오,ORIENTBIO,19761228,KOSPI,주권,\N,보통주,500,118583005
20220501,KR7065500001,A065500,오리엔트정공,오리엔트정공,Orient Precision Industries Inc.,20020919,KOSDAQ,주권,중견기업부,보통주,500,31742912
20220501,KR7271560005,A271560,오리온보통주,오리온,ORION,20170707,KOSPI,주권,\N,보통주,500,39536132
20220501,KR7001800002,A001800,오리온홀딩스보통주,오리온홀딩스,ORION Holdings,19750627,KOSPI,주권,\N,보통주,500,62645422
20220501,KR7010470003,A010470,오리콤,오리콤,ORICOM Inc.,20001024,KOSDAQ,주권,우량기업부,보통주,1000,11975050
20220501,KR7352910004,A352910,오비고,오비고,Obigo Inc.,20210713,KOSDAQ,주권,기술성장기업부,보통주,500,11450818
20220501,KR7053980009,A053980,오상자이엘,오상자이엘,"OSANGJAIEL Co., Ltd",20020409,KOSDAQ,주권,중견기업부,보통주,500,17747882
20220501,KR7052420007,A052420,오성첨단소재,오성첨단소재,"OSUNG ADVANCED MATERIALS CO., LTD.",20010807,KOSDAQ,주권,관리종목(소속부없음),보통주,500,72167744
20220501,KR7241790005,A241790,오션브릿지,오션브릿지,"OCEANBRIDGE CO., LTD",20161201,KOSDAQ,주권,우량기업부,보통주,500,10002634
20220501,KR7329020002,A329020,오션스톤,오션스톤,Ocean Stone,20200507,KONEX,주권,일반기업부,보통주,500,835152
20220501,KR7039200001,A039200,오스코텍,오스코텍,OSCOTEC Inc.,20070117,KOSDAQ,주권,벤처기업부,보통주,500,30206525
20220501,KR7031510001,A031510,오스템,오스템,"AUSTEM CO.,LTD",19970212,KOSDAQ,주권,중견기업부,보통주,500,28000000
20220501,KR7048260004,A048260,오스템임플란트,오스템임플란트,"OSSTEM IMPLANT.CO.,Ltd",20070207,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,14285717
20220501,KR7138080007,A138080,오이솔루션,오이솔루션,"OE Solutions Co., Ltd.",20140227,KOSDAQ,주권,우량기업부,보통주,500,10624095
20220501,KR7080580004,A080580,오킨스전자,오킨스전자,"OKins Electronics Co.,Ltd.",20141224,KOSDAQ,주권,벤처기업부,보통주,500,17679298
20220501,KR7067170001,A067170,오텍,오텍,Autech Corporation,20031114,KOSDAQ,주권,우량기업부,보통주,500,15391605
20220501,KR7353590003,A353590,오토앤,오토앤,AUTO& Inc.,20220120,KOSDAQ,주권,중견기업부,보통주,500,12875570
20220501,KR7173130006,A173130,오파스넷,오파스넷,"OPASNET co., Ltd",20180824,KOSDAQ,주권,중견기업부,보통주,500,11860430
20220501,KR7049480007,A049480,오픈베이스,오픈베이스,"Openbase, Inc.",20010109,KOSDAQ,주권,중견기업부,보통주,500,31422383
20220501,KR7309930006,A309930,오하임아이엔티,오하임아이엔티,"OHEIM INT Co.,Ltd.",20181220,KOSDAQ,주권,중견기업부,보통주,100,21218422
20220501,KR7244460002,A244460,올리패스,올리패스,OLIPASS Corporation,20190920,KOSDAQ,주권,기술성장기업부,보통주,500,26633587
20220501,KR7226950004,A226950,올릭스,올릭스,"Olix Pharmaceuticals, Inc.",20180718,KOSDAQ,주권,기술성장기업부,보통주,500,13703160
20220501,KR7057540007,A057540,옴니시스템,옴니시스템,"Omnisystem Co., Ltd",20070919,KOSDAQ,주권,우량기업부,보통주,500,46449355
20220501,KR7082210006,A082210,옵트론텍,옵트론텍,OPTRONTEC Inc.,20050624,KOSDAQ,주권,중견기업부,보통주,500,24483945
20220501,KR7109080002,A109080,옵티시스,옵티시스,"OPTICIS CO., LTD.",20110712,KOSDAQ,주권,벤처기업부,보통주,500,5636000
20220501,KR7153710009,A153710,옵티팜,옵티팜,"Optipharm. CO., LTD",20181026,KOSDAQ,주권,기술성장기업부,보통주,500,14589458
20220501,KR7051390003,A051390,와이더블유,YW,YW COMPANY LIMITED,20011115,KOSDAQ,주권,중견기업부,보통주,500,11355368
